Age_Var,Age_Level,Age_Label,Eth_Var,Eth_Level,Eth_Label,Sex_code,Sex_Label,DepMissing,Dep1,Dep2,Dep3,Dep4,Dep5,Dep6,Dep7,Dep8,Dep9,Dep10,Total
AgeGroup A,106,A: 6-17 yrs,EthIndOth,89,"Non-Other Ethnicity (Has only M,P,A,E,MELAA)",1,Male,69,34092,32283,31605,30378,29922,29268,29556,30171,34041,40587,
AgeGroup A,106,A: 6-17 yrs,EthIndOth,89,"Non-Other Ethnicity (Has only M,P,A,E,MELAA)",2,Female,69,33165,30963,29721,28968,28545,28170,27891,29115,32970,39300,
AgeGroup A,106,A: 6-17 yrs,EthIndOth,89,"Non-Other Ethnicity (Has only M,P,A,E,MELAA)",99,Both Sexes,141,67257,63246,61326,59343,58467,57441,57450,59286,67008,79884,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndnonMP,90,Maori or Pacific Ethnicity,1,Male,54,35757,32772,30993,28350,26547,24003,21903,18585,15756,10146,
AgeGroup A,106,A: 6-17 yrs,EthIndnonMP,90,Maori or Pacific Ethnicity,2,Female,51,34380,31158,28908,27006,25233,23028,20466,17622,15060,9726,
AgeGroup A,106,A: 6-17 yrs,EthIndnonMP,90,Maori or Pacific Ethnicity,99,Both Sexes,108,70140,63933,59898,55356,51780,47034,42369,36210,30816,19875,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,106,A: 6-17 yrs,EthIndnonMP,99,nonMaorinonPacific Ethnicity,1,Male,18,3276,4005,4965,5940,7008,8520,10560,14172,20406,31746,
AgeGroup A,106,A: 6-17 yrs,EthIndnonMP,99,nonMaorinonPacific Ethnicity,2,Female,18,3162,3972,4632,5511,6537,8079,9981,13782,19740,30828,
AgeGroup A,106,A: 6-17 yrs,EthIndnonMP,99,nonMaorinonPacific Ethnicity,99,Both Sexes,39,6435,7977,9597,11448,13545,16599,20541,27954,40146,62577,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,118,A:18-24 yrs,EthTotal,11,Maori (Total),1,Male,12,921,1260,1554,1770,2175,2964,3285,4119,5550,7038,
AgeGroup A,118,A:18-24 yrs,EthTotal,11,Maori (Total),2,Female,6,882,1200,1512,1755,2331,3015,3567,4503,6204,8256,
AgeGroup A,118,A:18-24 yrs,EthTotal,11,Maori (Total),99,Both Sexes,18,1803,2463,3063,3525,4506,5976,6855,8619,11751,15294,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,118,A:18-24 yrs,EthTotal,12,Pacific People (Total),1,Male,,252,342,471,642,789,1077,1272,2085,3045,4839,
AgeGroup A,118,A:18-24 yrs,EthTotal,12,Pacific People (Total),2,Female,,234,321,423,609,699,1014,1296,2208,3294,5508,
AgeGroup A,118,A:18-24 yrs,EthTotal,12,Pacific People (Total),99,Both Sexes,6,486,663,897,1251,1491,2094,2568,4293,6339,10347,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,118,A:18-24 yrs,EthTotal,14,Asian (Total),1,Male,6,1701,2058,2412,2688,2907,3363,3381,3699,3939,3099,
AgeGroup A,118,A:18-24 yrs,EthTotal,14,Asian (Total),2,Female,,1620,2070,2409,2652,2850,3207,3390,3720,3981,3462,
AgeGroup A,118,A:18-24 yrs,EthTotal,14,Asian (Total),99,Both Sexes,9,3321,4128,4821,5340,5760,6570,6771,7422,7920,6561,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,118,A:18-24 yrs,EthTotal,15,NonMaoriNonPacNonAs,1,Male,48,11241,11451,11892,11367,11550,12066,11772,11259,11574,6456,
AgeGroup A,118,A:18-24 yrs,EthTotal,15,NonMaoriNonPacNonAs,2,Female,57,9873,10071,10977,10521,11079,11979,12177,11406,12636,6888,
AgeGroup A,118,A:18-24 yrs,EthTotal,15,NonMaoriNonPacNonAs,99,Both Sexes,108,21114,21522,22866,21882,22629,24045,23949,22665,24210,13341,
,,,,,,,,,,,,,,,,,,,
AgeGroup A,118,A:18-24 yrs,EthPrior,21,Maori (Prioritised),1,Male,12,921,1260,1554,1770,2175,2964,3285,4119,5550,7038,
