"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Hatfields Beach",93,123,114,102,51,48,87,102,117,114,108,93,75,159,1377,91.884,83.436,40.086,41.472,80.04,93.84,107.64,104.88,104.76,92.07,74.25,157.41,1071.768,1170,0.916041025641026
"Orewa",303,354,393,414,312,252,240,297,468,489,483,507,624,3387,8520,316.758,338.652,245.232,217.728,220.8,273.24,430.56,449.88,422.244,501.93,617.76,3353.13,7387.914,7866,0.93922120518688
"Silverdale Central",162,165,174,99,75,48,126,162,213,150,129,81,78,171,1827,140.244,80.982,58.95,41.472,115.92,149.04,195.96,138,140.112,80.19,77.22,169.29,1387.38,1506,0.921235059760956
"Red Beach West",147,141,144,156,105,93,111,138,171,171,156,117,132,822,2610,116.064,127.608,82.53,80.352,102.12,126.96,157.32,157.32,143.136,115.83,130.68,813.78,2153.7,2316,0.929922279792746
"Red Beach East",183,243,246,276,177,150,168,207,264,285,306,264,270,792,3822,198.276,225.768,139.122,129.6,154.56,190.44,242.88,262.2,266.328,261.36,267.3,784.08,3121.914,3405,0.916861674008811
"Manly",390,429,438,459,330,246,264,351,480,513,471,420,369,1392,6552,353.028,375.462,259.38,212.544,242.88,322.92,441.6,471.96,433.44,415.8,365.31,1378.08,5272.404,5733,0.919658817373103
"Army Bay",243,321,333,285,147,132,192,249,345,378,306,183,204,657,3969,268.398,233.13,115.542,114.048,176.64,229.08,317.4,347.76,300.78,181.17,201.96,650.43,3136.338,3411,0.919477572559367
"Vipond",213,174,198,192,129,144,159,186,204,183,168,144,135,561,2781,159.588,157.056,101.394,124.416,146.28,171.12,187.68,168.36,171.144,142.56,133.65,555.39,2218.638,2403,0.923278401997503
"Stanmore Bay West",195,195,189,192,156,129,174,171,219,192,192,144,126,273,2553,152.334,157.056,122.616,111.456,160.08,157.32,201.48,176.64,180.828,142.56,124.74,270.27,1957.38,2157,0.907454798331015
"Stanmore Bay East",183,153,174,189,162,129,150,165,174,192,186,150,108,444,2559,140.244,154.602,127.332,111.456,138,151.8,160.08,176.64,171.576,148.5,106.92,439.56,2026.71,2223,0.9117004048583
"Wade Heads",198,234,276,231,153,123,162,183,279,306,261,180,150,495,3228,222.456,188.958,120.258,106.272,149.04,168.36,256.68,281.52,253.368,178.2,148.5,490.05,2563.662,2799,0.915920685959271
"Gulf Harbour",159,159,195,195,123,87,120,141,204,228,195,174,174,405,2553,157.17,159.51,96.678,75.168,110.4,129.72,187.68,209.76,184.86,172.26,172.26,400.95,2056.416,2241,0.917633199464525
"Gulf Harbour Marina",0,0,3,0,0,0,0,0,6,3,6,6,9,6,30,2.418,0,0,0,0,0,5.52,2.76,4.5,5.94,8.91,5.94,35.988,39,0.922769230769231
"Weiti River",21,30,27,39,30,24,27,24,45,33,42,27,21,60,453,21.762,31.902,23.58,20.736,24.84,22.08,41.4,30.36,33.876,26.73,20.79,59.4,357.456,399,0.89587969924812
"Stillwater",66,60,48,57,42,39,54,63,90,66,84,75,54,66,873,38.688,46.626,33.012,33.696,49.68,57.96,82.8,60.72,65.376,74.25,53.46,65.34,661.608,738,0.896487804878049
"Silverdale South",51,90,72,78,78,63,45,54,93,102,105,78,75,117,1104,58.032,63.804,61.308,54.432,41.4,49.68,85.56,93.84,86.472,77.22,74.25,115.83,861.828,960,0.8977375
"Silverdale North",48,45,66,69,60,39,36,33,54,69,81,60,51,90,795,53.196,56.442,47.16,33.696,33.12,30.36,49.68,63.48,70.848,59.4,50.49,89.1,636.972,708,0.899677966101695
"Orewa West",6,3,3,6,9,9,0,3,3,9,6,12,6,15,90,2.418,4.908,7.074,7.776,0,2.76,2.76,8.28,4.5,11.88,5.94,14.85,73.146,81,0.903037037037037
"Dairy Flat-Redvale",102,201,228,255,180,117,99,114,228,297,273,198,177,246,2715,183.768,208.59,141.48,101.088,91.08,104.88,209.76,273.24,240.984,196.02,175.23,243.54,2169.66,2412,0.89952736318408
"Paremoremo West",42,66,63,66,39,21,24,42,72,81,87,57,48,93,792,50.778,53.988,30.654,18.144,22.08,38.64,66.24,74.52,72.972,56.43,47.52,92.07,624.036,693,0.900484848484849
"Tauhoa-Puhoi",261,336,369,309,189,147,159,225,417,417,426,348,321,633,4560,297.414,252.762,148.554,127.008,146.28,207,383.64,383.64,381.276,344.52,317.79,626.67,3616.554,3960,0.913271212121212
"Tahekeroa",180,300,330,294,210,135,132,213,327,381,381,300,240,384,3801,265.98,240.492,165.06,116.64,121.44,195.96,300.84,350.52,340.992,297,237.6,380.16,3012.684,3327,0.905525698827773
"Matheson Bay",6,6,9,6,6,3,6,9,9,12,12,9,3,39,126,7.254,4.908,4.716,2.592,5.52,8.28,8.28,11.04,10.188,8.91,2.97,38.61,113.268,123,0.920878048780488
"Kawau",6,0,0,0,0,3,6,6,3,3,3,6,12,30,78,0,0,0,2.592,5.52,5.52,2.76,2.76,1.656,5.94,11.88,29.7,68.328,72,0.949
